CUSTOMERNAME,ORDERNUMBER,PRODUCTCODE,ORDERDATE,QUANTITYORDERED,PRICEEACH,SALES,ORDERLINENUMBER,STATUS,DEALSIZE,CUSTOMER_ID,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,STATUS_ID
"La Corne D'abondance, Co.",10114,S10_4962,2003-04-01,31,100.0,4305.28,8,Shipped,Medium,63,(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France,EMEA,Bertrand,Marie,1
"Corrida Auto Replicas, Ltd",10126,S10_4962,2003-05-28,22,100.0,3347.74,4,Shipped,Medium,26,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart°n,1
Technics Stores Inc.,10140,S10_4962,2003-07-24,26,100.0,3188.12,4,Shipped,Medium,6,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,1
"Dragon Souveniers, Ltd.",10150,S10_4962,2003-09-19,20,100.0,3191.2,1,Shipped,Medium,27,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,1
Mini Auto Werke,10164,S10_4962,2003-10-21,21,100.0,3536.82,2,Resolved,Medium,64,7675-3555,Kirchgasse 6,,Graz,,8010,Austria,EMEA,Mendel,Roland,6
"Stylish Desk Decors, Co.",10175,S10_4962,2003-11-06,33,100.0,5362.83,9,Shipped,Medium,50,(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,1
"Classic Gift Ideas, Inc",10183,S10_4962,2003-11-13,28,100.0,3433.36,1,Shipped,Medium,30,2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca,1
"Saveley & Henriot, Co.",10194,S10_4962,2003-11-25,26,100.0,4263.74,4,Shipped,Medium,31,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,1
Diecast Collectables,10207,S10_4962,2003-12-09,31,100.0,4076.19,15,Shipped,Medium,65,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA,,Franco,Valarie,1
Handji Gifts& Co,10217,S10_4962,2004-02-04,48,100.0,7020.48,4,Shipped,Large,66,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,1
Mini Gifts Distributors Ltd.,10229,S10_4962,2004-03-11,50,100.0,6426.5,9,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Super Scale Inc.,10245,S10_4962,2004-05-04,28,100.0,4591.72,2,Shipped,Medium,35,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,1
Handji Gifts& Co,10259,S10_4962,2004-06-15,26,100.0,4033.38,12,Shipped,Medium,66,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,1
Souveniers And Things Co.,10270,S10_4962,2004-07-19,32,100.0,4302.08,2,Shipped,Medium,21,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,1
Diecast Classics Inc.,10281,S10_4962,2004-08-19,44,100.0,7020.64,9,Shipped,Large,19,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,1
Scandinavian Gift Ideas,10291,S10_4962,2004-09-08,30,100.0,3855.9,4,Shipped,Medium,38,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,1
Marta's Replicas Co.,10305,S10_4962,2004-10-13,38,100.0,6680.78,13,Shipped,Medium,16,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,1
Canadian Gift Exchange Network,10313,S10_4962,2004-10-22,40,100.0,6678.0,7,Shipped,Medium,32,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,1
Online Diecast Creations Co.,10322,S10_4962,2004-11-04,46,61.99,2851.54,8,Shipped,Small,41,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,1
"Volvo Model Replicas, Co",10334,S10_4962,2004-11-19,26,100.0,3188.12,2,On Hold,Medium,25,0921-12 3555,BerguvsvÑgen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,5
"Australian Collectors, Co.",10347,S10_4962,2004-11-29,27,100.0,4428.0,2,Shipped,Medium,11,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,1
Mini Gifts Distributors Ltd.,10357,S10_4962,2004-12-10,43,100.0,5780.92,9,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
"Anna's Decorations, Ltd",10370,S10_4962,2005-01-20,35,65.63,2297.05,4,Shipped,Small,43,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,1
Corporate Gift Ideas Co.,10381,S10_4962,2005-02-17,37,100.0,6231.54,6,Shipped,Medium,5,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,1
"Anna's Decorations, Ltd",10391,S10_4962,2005-03-09,37,46.9,1735.3,7,Shipped,Small,43,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,1
Quebec Home Shopping Network,10411,S10_4962,2005-05-01,27,100.0,4427.73,2,Shipped,Medium,44,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,1
La Rochelle Gifts,10425,S10_4962,2005-05-31,38,100.0,5894.94,12,In Process,Medium,15,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,3
Cruz & Sons Co.,10108,S12_1099,2003-03-03,33,100.0,5265.15,6,Shipped,Medium,67,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines,Japan,Cruz,Arnold,1
Marseille Mini Autos,10122,S12_1099,2003-05-08,42,100.0,7599.9,10,Shipped,Large,68,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France,EMEA,Lebihan,Laurence,1
Mini Gifts Distributors Ltd.,10135,S12_1099,2003-07-02,42,100.0,8008.56,7,Shipped,Large,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Collectables For Less Inc.,10147,S12_1099,2003-09-05,48,100.0,9245.76,7,Shipped,Large,42,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen,1
Corporate Gift Ideas Co.,10159,S12_1099,2003-10-10,41,100.0,8296.35,2,Shipped,Large,5,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,1
"Anna's Decorations, Ltd",10169,S12_1099,2003-11-04,30,100.0,5019.9,2,Shipped,Medium,43,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,1
Herkku Gifts,10181,S12_1099,2003-11-12,27,100.0,5411.07,14,Shipped,Medium,8,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,1
"Toms Spezialitten, Ltd",10191,S12_1099,2003-11-20,21,100.0,3840.9,3,Shipped,Medium,69,0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,1
Euro Shopping Channel,10203,S12_1099,2003-12-02,20,100.0,3930.4,8,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Auto Canal Petit,10211,S12_1099,2004-01-15,41,100.0,7498.9,2,Shipped,Large,10,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,1
"Vida Sport, Ltd",10225,S12_1099,2004-02-22,27,100.0,4517.91,9,Shipped,Medium,70,0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,Holz,Michael,1
Danish Wholesale Imports,10238,S12_1099,2004-04-09,28,100.0,5774.72,3,Shipped,Medium,49,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,1
"UK Collectables, Ltd.",10253,S12_1099,2004-06-01,24,100.0,3922.56,13,Cancelled,Medium,23,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,4
L'ordine Souveniers,10266,S12_1099,2004-07-06,44,100.0,9160.36,14,Shipped,Large,71,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,1
Online Mini Collectables,10276,S12_1099,2004-08-02,50,100.0,9631.0,3,Shipped,Large,72,6175557555,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA,,Barajas,Miguel,1
"Vida Sport, Ltd",10287,S12_1099,2004-08-30,21,100.0,3432.24,12,Shipped,Medium,70,0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,Holz,Michael,1
"Blauer See Auto, Co.",10300,S12_1099,2003-10-04,33,100.0,5521.89,5,Shipped,Medium,73,+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,Keitel,Roland,1
"Toms Spezialitten, Ltd",10310,S12_1099,2004-10-16,33,100.0,6934.62,10,Shipped,Medium,69,0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,1
"Volvo Model Replicas, Co",10320,S12_1099,2004-11-03,31,100.0,6876.11,3,Shipped,Medium,25,0921-12 3555,BerguvsvÑgen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,1
Land of Toys Inc.,10329,S12_1099,2004-11-15,41,71.47,2930.27,5,Shipped,Small,1,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,1
Salzburg Collectables,10341,S12_1099,2004-11-24,45,79.65,3584.25,2,Shipped,Medium,20,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,1
Suominen Souveniers,10363,S12_1099,2005-01-06,33,85.39,2817.87,3,Shipped,Small,74,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,1
La Rochelle Gifts,10375,S12_1099,2005-02-03,45,76.0,3420.0,7,Shipped,Medium,15,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,1
Scandinavian Gift Ideas,10389,S12_1099,2005-03-03,26,99.04,2575.04,4,Shipped,Small,38,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,1
Salzburg Collectables,10419,S12_1099,2005-05-17,12,100.0,1961.28,13,Shipped,Small,20,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,1
Danish Wholesale Imports,10105,S12_1108,2003-02-11,41,100.0,8690.36,15,Shipped,Large,49,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,1
"Dragon Souveniers, Ltd.",10117,S12_1108,2003-04-16,33,100.0,6034.38,9,Shipped,Medium,27,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,1
Muscle Machine Inc,10127,S12_1108,2003-06-03,46,100.0,11279.2,2,Shipped,Large,75,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,1
Mini Gifts Distributors Ltd.,10142,S12_1108,2003-08-08,33,100.0,8023.29,12,Shipped,Large,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Euro Shopping Channel,10153,S12_1108,2003-09-28,20,100.0,4904.0,11,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
"Dragon Souveniers, Ltd.",10165,S12_1108,2003-10-22,44,100.0,8594.52,3,Shipped,Large,27,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,1
L'ordine Souveniers,10176,S12_1108,2003-11-06,33,100.0,7474.5,2,Shipped,Large,71,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,1
Mini Creations Ltd.,10185,S12_1108,2003-11-14,21,100.0,3883.74,13,Shipped,Medium,51,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,,Tam,Wing C,1
Super Scale Inc.,10196,S12_1108,2003-11-26,47,100.0,8887.7,5,Shipped,Large,35,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,1
"Saveley & Henriot, Co.",10208,S12_1108,2004-01-02,46,100.0,8602.92,13,Shipped,Large,31,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,1
"Clover Collections, Co.",10220,S12_1108,2004-02-12,32,100.0,7181.44,2,Shipped,Large,76,+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland,EMEA,Cassidy,Dean,1
CAF Imports,10231,S12_1108,2004-03-19,42,100.0,8378.58,2,Shipped,Large,77,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",,Madrid,,28023,Spain,EMEA,Fernandez,Jesus,1
Suominen Souveniers,10247,S12_1108,2004-05-05,44,100.0,10606.2,2,Shipped,Large,74,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,1
Diecast Classics Inc.,10272,S12_1108,2004-07-20,35,100.0,5818.4,2,Shipped,Medium,19,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,1
Mini Gifts Distributors Ltd.,10282,S12_1108,2004-08-20,41,100.0,7071.27,5,Shipped,Large,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Amica Models & Co.,10293,S12_1108,2004-09-09,46,100.0,8411.56,8,Shipped,Large,37,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,1
"AV Stores, Co.",10306,S12_1108,2004-10-14,31,100.0,6570.76,13,Shipped,Medium,78,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,1
Heintze Collectables,10314,S12_1108,2004-10-22,38,100.0,7975.44,5,Shipped,Large,79,86 21 3555,Smagsloget 45,,Aaarhus,,8200,Denmark,EMEA,Ibsen,Palle,1
Baane Mini Imports,10325,S12_1108,2004-11-05,42,64.0,2688.0,8,Shipped,Small,18,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,1
"La Corne D'abondance, Co.",10336,S12_1108,2004-11-20,33,57.22,1888.26,10,Shipped,Small,63,(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France,EMEA,Bertrand,Marie,1
"Corrida Auto Replicas, Ltd",10348,S12_1108,2004-11-01,48,52.36,2513.28,8,Shipped,Small,26,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart°n,1
Reims Collectables,10359,S12_1108,2004-12-15,42,100.0,4764.48,8,Shipped,Medium,2,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,1
Mini Gifts Distributors Ltd.,10371,S12_1108,2005-01-23,32,100.0,3560.64,6,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Mini Gifts Distributors Ltd.,10382,S12_1108,2005-02-17,34,100.0,3823.64,10,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Lyon Souveniers,10395,S12_1108,2005-03-17,33,69.12,2280.96,1,Shipped,Small,3,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,1
Gift Depot Inc.,10413,S12_1108,2005-05-05,36,100.0,8677.8,2,Shipped,Large,14,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,1
Baane Mini Imports,10103,S12_1666,2003-01-29,27,100.0,3394.98,8,Shipped,Medium,18,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,1
Mini Gifts Distributors Ltd.,10113,S12_1666,2003-03-26,21,100.0,3415.44,2,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
"Corrida Auto Replicas, Ltd",10126,S12_1666,2003-05-28,21,100.0,2439.57,8,Shipped,Small,26,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart°n,1
Technics Stores Inc.,10140,S12_1666,2003-07-24,38,100.0,4829.8,8,Shipped,Medium,6,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,1
"Dragon Souveniers, Ltd.",10150,S12_1666,2003-09-19,30,100.0,4100.1,5,Shipped,Medium,27,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,1
Mini Auto Werke,10164,S12_1666,2003-10-21,49,100.0,6563.06,6,Resolved,Medium,64,7675-3555,Kirchgasse 6,,Graz,,8010,Austria,EMEA,Mendel,Roland,6
"Australian Gift Network, Co",10174,S12_1666,2003-11-06,43,100.0,6817.22,1,Shipped,Medium,29,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,1
"Classic Gift Ideas, Inc",10183,S12_1666,2003-11-13,41,100.0,6163.94,5,Shipped,Medium,30,2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca,1
"Saveley & Henriot, Co.",10194,S12_1666,2003-11-25,38,100.0,4933.92,8,Shipped,Medium,31,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,1
Canadian Gift Exchange Network,10206,S12_1666,2003-12-05,28,100.0,4056.36,3,Shipped,Medium,32,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,1
Auto Assoc. & Cie.,10216,S12_1666,2004-02-02,43,100.0,5759.42,1,Shipped,Medium,39,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,1
Mini Gifts Distributors Ltd.,10229,S12_1666,2004-03-11,25,100.0,3451.0,13,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Super Scale Inc.,10245,S12_1666,2004-05-04,38,100.0,5920.4,6,Shipped,Medium,35,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,1
"Tokyo Collectables, Ltd",10258,S12_1666,2004-06-15,41,100.0,6668.24,3,Shipped,Medium,36,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,1
Souveniers And Things Co.,10270,S12_1666,2004-07-19,28,100.0,4094.72,6,Shipped,Medium,21,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,1
Diecast Classics Inc.,10281,S12_1666,2004-08-19,25,100.0,2938.5,13,Shipped,Small,19,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,1
Scandinavian Gift Ideas,10291,S12_1666,2004-09-08,41,100.0,6387.8,8,Shipped,Medium,38,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,1
Auto Assoc. & Cie.,10304,S12_1666,2004-10-11,39,100.0,6396.0,3,Shipped,Medium,39,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,1
Canadian Gift Exchange Network,10313,S12_1666,2004-10-22,21,100.0,2669.1,11,Shipped,Small,32,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,1
Online Diecast Creations Co.,10322,S12_1666,2004-11-04,27,100.0,4784.13,9,Shipped,Medium,41,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,1
Mini Wheels Co.,10333,S12_1666,2004-11-18,33,99.21,3273.93,6,Shipped,Medium,9,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,1
"Australian Collectors, Co.",10347,S12_1666,2004-11-29,29,100.0,3586.43,3,Shipped,Medium,11,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,1
Mini Gifts Distributors Ltd.,10357,S12_1666,2004-12-10,49,100.0,5960.36,8,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
"Anna's Decorations, Ltd",10370,S12_1666,2005-01-20,49,100.0,8470.14,8,Shipped,Large,43,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,1
Corporate Gift Ideas Co.,10381,S12_1666,2005-02-17,20,100.0,2952.0,1,Shipped,Small,5,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,1
"Anna's Decorations, Ltd",10391,S12_1666,2005-03-09,39,63.2,2464.8,9,Shipped,Small,43,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,1
Quebec Home Shopping Network,10411,S12_1666,2005-05-01,40,100.0,6232.0,6,Shipped,Medium,44,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,1
Euro Shopping Channel,10424,S12_1666,2005-05-31,49,100.0,7969.36,3,In Process,Large,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,3
Land of Toys Inc.,10107,S12_2823,2003-02-24,21,100.0,3036.6,1,Shipped,Medium,1,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,1
Reims Collectables,10121,S12_2823,2003-05-07,50,100.0,8284.0,4,Shipped,Large,2,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,1
Lyon Souveniers,10134,S12_2823,2003-07-01,20,100.0,2711.2,1,Shipped,Small,3,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,1
Toys4GrownUps.com,10145,S12_2823,2003-08-25,49,100.0,8339.8,5,Shipped,Large,4,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,1
Corporate Gift Ideas Co.,10159,S12_2823,2003-10-10,38,100.0,6238.84,13,Shipped,Medium,5,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,1
"Anna's Decorations, Ltd",10169,S12_2823,2003-11-04,35,100.0,4639.25,13,Shipped,Medium,43,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,1
Daedalus Designs Imports,10180,S12_2823,2003-11-11,40,100.0,6747.6,8,Shipped,Medium,7,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,1
Toys4GrownUps.com,10189,S12_2823,2003-11-18,28,100.0,4512.48,1,Shipped,Medium,4,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,1
Mini Wheels Co.,10201,S12_2823,2003-12-01,25,100.0,4029.0,1,Shipped,Medium,9,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,1
Auto Canal Petit,10211,S12_2823,2004-01-15,36,100.0,4771.8,13,Shipped,Medium,10,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,1
Daedalus Designs Imports,10224,S12_2823,2004-02-21,43,100.0,6087.94,6,Shipped,Medium,7,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,1
Vitachrome Inc.,10237,S12_2823,2004-04-05,32,100.0,4193.28,6,Shipped,Medium,12,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,1
Tekni Collectables Inc.,10251,S12_2823,2004-05-18,46,100.0,7552.28,1,Shipped,Large,13,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,1
Gift Depot Inc.,10263,S12_2823,2004-06-28,48,100.0,6434.4,1,Shipped,Medium,14,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,1
Online Mini Collectables,10276,S12_2823,2004-08-02,43,100.0,5181.5,14,Shipped,Medium,72,6175557555,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA,,Barajas,Miguel,1
Marta's Replicas Co.,10285,S12_2823,2004-08-27,49,100.0,6863.92,5,Shipped,Medium,16,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,1
"Toys of Finland, Co.",10299,S12_2823,2004-09-30,24,100.0,4157.04,8,Shipped,Medium,17,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,1
Baane Mini Imports,10309,S12_2823,2004-10-15,26,100.0,4660.24,4,Shipped,Medium,18,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,1
Microscale Inc.,10319,S12_2823,2004-11-03,30,100.0,4111.8,9,Shipped,Medium,80,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,,Kuo,Kee,1
Land of Toys Inc.,10329,S12_2823,2004-11-15,24,100.0,3542.64,6,Shipped,Medium,1,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,1
Salzburg Collectables,10341,S12_2823,2004-11-24,55,100.0,8118.55,8,Shipped,Large,20,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,1
Technics Stores Inc.,10362,S12_2823,2005-01-05,22,100.0,3877.06,1,Shipped,Medium,6,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,1
La Rochelle Gifts,10375,S12_2823,2005-02-03,49,78.92,3867.08,13,Shipped,Medium,15,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,1
FunGiftIdeas.com,10388,S12_2823,2005-03-03,44,100.0,5951.44,6,Shipped,Medium,22,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,1
"UK Collectables, Ltd.",10403,S12_2823,2005-04-08,66,100.0,8648.64,6,Shipped,Large,23,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,1
Euro Shopping Channel,10417,S12_2823,2005-05-13,21,100.0,3447.78,1,Disputed,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,2
Euro Shopping Channel,10104,S12_3148,2003-01-31,34,100.0,5958.5,1,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
"Dragon Souveniers, Ltd.",10117,S12_3148,2003-04-16,43,100.0,5911.64,10,Shipped,Medium,27,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,1
